Plan_Rental,Plan_Rental_GST,Plan_Type,Plan_Name,Go_Live_Date,Pack_Closure_Date,Active_Inactive,Go_Live_Circle,Plan_Brief,Plan_SOC_ID,Category,Category_Name,Category_Value,Plan_ID,Product_Type,Customer_Type,Segment,Brand,Operator,Validity_Days,Data_Benefit,Daily_Data_Limit,Total_Data_Limit,Data_Unit,Voice_Benefit,SMS_Benefit,SMS_Limit,5G_Eligible,4G_Eligible,OTT_Benefit,OTT_Platform,Roaming_Benefit,ISD_Benefit,Night_Data,Weekend_Data,Data_Rollover,Speed_Post_Limit,Activation_Channel,Recharge_Channel,Market,Circle_Count,Launch_Quarter,Closure_Reason,Plan_Status,Auto_Renewal,FUP_Limit,FUP_Speed,Additional_Benefits,Created_Date,Last_Updated_Date
149,₹149.00 (GST Inclusive @18% | Base ₹126.27 + GST ₹22.73),Unlimited,Vi Hero Unlimited 149,01-Aug-25,NA,Active,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",UL Calls | 1GB/Day High-Speed Data | 100 SMS/Day,26101189,1.Telco Benefits,4.Validity,Validity: 20 Days,PLN-PRE-00002,Prepaid,Retail,Entry,Vi Hero Unlimited,Vodafone Idea,20,1GB/Day High-Speed Data,1,20,GB,Unlimited Calls (Local+STD+NR),100 SMS/Day,2000,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,Retail Outlet,MyApp | UPI,Pan India,23,Q2 FY2025-26,NA,Live,Yes,1GB/Day,64 Kbps,Vi Movies & TV Access,24-Jun-25,18-Sep-25
149,₹149.00 (GST Inclusive @18% | Base ₹126.27 + GST ₹22.73),Unlimited,Vi Hero Unlimited 149,01-Aug-25,NA,Active,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",UL Calls | 1GB/Day High-Speed Data | 100 SMS/Day,26101189,1.Telco Benefits,5.FUP,Post 1GB/Day FUP - Speed Reduced to 64 Kbps,PLN-PRE-00002,Prepaid,Retail,Entry,Vi Hero Unlimited,Vodafone Idea,20,1GB/Day High-Speed Data,1,20,GB,Unlimited Calls (Local+STD+NR),100 SMS/Day,2000,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,Retail Outlet,MyApp | UPI,Pan India,23,Q2 FY2025-26,NA,Live,Yes,1GB/Day,64 Kbps,Vi Movies & TV Access,24-Jun-25,18-Sep-25
149,₹149.00 (GST Inclusive @18% | Base ₹126.27 + GST ₹22.73),Unlimited,Vi Hero Unlimited 149,01-Aug-25,NA,Active,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",UL Calls | 1GB/Day High-Speed Data | 100 SMS/Day,26101189,3.Roaming Benefits,1.Roaming,Domestic Roaming Free (In & Out),PLN-PRE-00002,Prepaid,Retail,Entry,Vi Hero Unlimited,Vodafone Idea,20,1GB/Day High-Speed Data,1,20,GB,Unlimited Calls (Local+STD+NR),100 SMS/Day,2000,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,Retail Outlet,MyApp | UPI,Pan India,23,Q2 FY2025-26,NA,Live,Yes,1GB/Day,64 Kbps,Vi Movies & TV Access,24-Jun-25,18-Sep-25
149,₹149.00 (GST Inclusive @18% | Base ₹126.27 + GST ₹22.73),Unlimited,Vi Hero Unlimited 149,01-Aug-25,NA,Active,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",UL Calls | 1GB/Day High-Speed Data | 100 SMS/Day,26101189,5.Additional Benefits,1.Additional Benefits,Vi Movies & TV Access,PLN-PRE-00002,Prepaid,Retail,Entry,Vi Hero Unlimited,Vodafone Idea,20,1GB/Day High-Speed Data,1,20,GB,Unlimited Calls (Local+STD+NR),100 SMS/Day,2000,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,Retail Outlet,MyApp | UPI,Pan India,23,Q2 FY2025-26,NA,Live,Yes,1GB/Day,64 Kbps,Vi Movies & TV Access,24-Jun-25,18-Sep-25
179,₹179.00 (GST Inclusive @18% | Base ₹151.69 + GST ₹27.31),Voice,Vi Hero Unlimited 179,11-May-25,NA,Active,"ANE, APR, KAR, KER, TN",UL Calls | 2GB Total (Full Validity) | 300 SMS,26101899,1.Telco Benefits,1.Voice,Unlimited Voice (L+STD+NR),PLN-PRE-00003,Prepaid,Retail,Entry,Vi Hero Unlimited,Vodafone Idea,28,2GB Total (Full Validity),NA,2,GB,Unlimited Calls (Local+STD+NR),300 SMS (Full Validity),300,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,Retail Outlet,MyApp | Debit Card,South,5,Q1 FY2025-26,NA,Live,Yes,2GB/Validity,64 Kbps,Vi Movies & TV Access,28-Feb-25,10-Apr-26
179,₹179.00 (GST Inclusive @18% | Base ₹151.69 + GST ₹27.31),Voice,Vi Hero Unlimited 179,11-May-25,NA,Active,"ANE, APR, KAR, KER, TN",UL Calls | 2GB Total (Full Validity) | 300 SMS,26101899,1.Telco Benefits,2.Data,2GB Total (Full Validity),PLN-PRE-00003,Prepaid,Retail,Entry,Vi Hero Unlimited,Vodafone Idea,28,2GB Total (Full Validity),NA,2,GB,Unlimited Calls (Local+STD+NR),300 SMS (Full Validity),300,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,Retail Outlet,MyApp | Debit Card,South,5,Q1 FY2025-26,NA,Live,Yes,2GB/Validity,64 Kbps,Vi Movies & TV Access,28-Feb-25,10-Apr-26
179,₹179.00 (GST Inclusive @18% | Base ₹151.69 + GST ₹27.31),Voice,Vi Hero Unlimited 179,11-May-25,NA,Active,"ANE, APR, KAR, KER, TN",UL Calls | 2GB Total (Full Validity) | 300 SMS,26101899,1.Telco Benefits,3.SMS,300 SMS (Full Validity),PLN-PRE-00003,Prepaid,Retail,Entry,Vi Hero Unlimited,Vodafone Idea,28,2GB Total (Full Validity),NA,2,GB,Unlimited Calls (Local+STD+NR),300 SMS (Full Validity),300,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,Retail Outlet,MyApp | Debit Card,South,5,Q1 FY2025-26,NA,Live,Yes,2GB/Validity,64 Kbps,Vi Movies & TV Access,28-Feb-25,10-Apr-26
179,₹179.00 (GST Inclusive @18% | Base ₹151.69 + GST ₹27.31),Voice,Vi Hero Unlimited 179,11-May-25,NA,Active,"ANE, APR, KAR, KER, TN",UL Calls | 2GB Total (Full Validity) | 300 SMS,26101899,1.Telco Benefits,4.Validity,28 Days Validity,PLN-PRE-00003,Prepaid,Retail,Entry,Vi Hero Unlimited,Vodafone Idea,28,2GB Total (Full Validity),NA,2,GB,Unlimited Calls (Local+STD+NR),300 SMS (Full Validity),300,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,Retail Outlet,MyApp | Debit Card,South,5,Q1 FY2025-26,NA,Live,Yes,2GB/Validity,64 Kbps,Vi Movies & TV Access,28-Feb-25,10-Apr-26
179,₹179.00 (GST Inclusive @18% | Base ₹151.69 + GST ₹27.31),Voice,Vi Hero Unlimited 179,11-May-25,NA,Active,"ANE, APR, KAR, KER, TN",UL Calls | 2GB Total (Full Validity) | 300 SMS,26101899,1.Telco Benefits,5.FUP,Post 2GB/Validity FUP - Speed Reduced to 64 Kbps,PLN-PRE-00003,Prepaid,Retail,Entry,Vi Hero Unlimited,Vodafone Idea,28,2GB Total (Full Validity),NA,2,GB,Unlimited Calls (Local+STD+NR),300 SMS (Full Validity),300,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,Retail Outlet,MyApp | Debit Card,South,5,Q1 FY2025-26,NA,Live,Yes,2GB/Validity,64 Kbps,Vi Movies & TV Access,28-Feb-25,10-Apr-26
179,₹179.00 (GST Inclusive @18% | Base ₹151.69 + GST ₹27.31),Voice,Vi Hero Unlimited 179,11-May-25,NA,Active,"ANE, APR, KAR, KER, TN",UL Calls | 2GB Total (Full Validity) | 300 SMS,26101899,3.Roaming Benefits,1.Roaming,Free National Roaming (Incoming+Outgoing),PLN-PRE-00003,Prepaid,Retail,Entry,Vi Hero Unlimited,Vodafone Idea,28,2GB Total (Full Validity),NA,2,GB,Unlimited Calls (Local+STD+NR),300 SMS (Full Validity),300,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,Retail Outlet,MyApp | Debit Card,South,5,Q1 FY2025-26,NA,Live,Yes,2GB/Validity,64 Kbps,Vi Movies & TV Access,28-Feb-25,10-Apr-26
179,₹179.00 (GST Inclusive @18% | Base ₹151.69 + GST ₹27.31),Voice,Vi Hero Unlimited 179,11-May-25,NA,Active,"ANE, APR, KAR, KER, TN",UL Calls | 2GB Total (Full Validity) | 300 SMS,26101899,5.Additional Benefits,1.Additional Benefits,Vi Movies & TV Access,PLN-PRE-00003,Prepaid,Retail,Entry,Vi Hero Unlimited,Vodafone Idea,28,2GB Total (Full Validity),NA,2,GB,Unlimited Calls (Local+STD+NR),300 SMS (Full Validity),300,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,Retail Outlet,MyApp | Debit Card,South,5,Q1 FY2025-26,NA,Live,Yes,2GB/Validity,64 Kbps,Vi Movies & TV Access,28-Feb-25,10-Apr-26
199,₹199.00 (GST Inclusive @18% | Base ₹168.64 + GST ₹30.36),Unlimited,Vi Hero Unlimited 199,20-Jul-25,NA,Active,"ANE, APR, KAR, KER, TN",UL Calls | 1GB/Day High-Speed Data | 100 SMS/Day,26102796,1.Telco Benefits,1.Voice,Unlimited Calls (Local+STD+NR),PLN-PRE-00004,Prepaid,Retail,Mass,Vi Hero Unlimited,Vodafone Idea,23,1GB/Day High-Speed Data,1,23,GB,Unlimited Calls (Local+STD+NR),100 SMS/Day,2300,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,USSD *199#,Third Party App (PhonePe/Paytm),South,5,Q2 FY2025-26,NA,Live,No,1GB/Day,64 Kbps,Vi Movies & TV Access,25-May-25,02-Mar-26
199,₹199.00 (GST Inclusive @18% | Base ₹168.64 + GST ₹30.36),Unlimited,Vi Hero Unlimited 199,20-Jul-25,NA,Active,"ANE, APR, KAR, KER, TN",UL Calls | 1GB/Day High-Speed Data | 100 SMS/Day,26102796,1.Telco Benefits,2.Data,1 GB/Day 4G/5G Data,PLN-PRE-00004,Prepaid,Retail,Mass,Vi Hero Unlimited,Vodafone Idea,23,1GB/Day High-Speed Data,1,23,GB,Unlimited Calls (Local+STD+NR),100 SMS/Day,2300,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,USSD *199#,Third Party App (PhonePe/Paytm),South,5,Q2 FY2025-26,NA,Live,No,1GB/Day,64 Kbps,Vi Movies & TV Access,25-May-25,02-Mar-26
199,₹199.00 (GST Inclusive @18% | Base ₹168.64 + GST ₹30.36),Unlimited,Vi Hero Unlimited 199,20-Jul-25,NA,Active,"ANE, APR, KAR, KER, TN",UL Calls | 1GB/Day High-Speed Data | 100 SMS/Day,26102796,1.Telco Benefits,2.Data,Post Daily FUP Speed: 64 Kbps,PLN-PRE-00004,Prepaid,Retail,Mass,Vi Hero Unlimited,Vodafone Idea,23,1GB/Day High-Speed Data,1,23,GB,Unlimited Calls (Local+STD+NR),100 SMS/Day,2300,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,USSD *199#,Third Party App (PhonePe/Paytm),South,5,Q2 FY2025-26,NA,Live,No,1GB/Day,64 Kbps,Vi Movies & TV Access,25-May-25,02-Mar-26
199,₹199.00 (GST Inclusive @18% | Base ₹168.64 + GST ₹30.36),Unlimited,Vi Hero Unlimited 199,20-Jul-25,NA,Active,"ANE, APR, KAR, KER, TN",UL Calls | 1GB/Day High-Speed Data | 100 SMS/Day,26102796,1.Telco Benefits,3.SMS,100 SMS/Day,PLN-PRE-00004,Prepaid,Retail,Mass,Vi Hero Unlimited,Vodafone Idea,23,1GB/Day High-Speed Data,1,23,GB,Unlimited Calls (Local+STD+NR),100 SMS/Day,2300,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,USSD *199#,Third Party App (PhonePe/Paytm),South,5,Q2 FY2025-26,NA,Live,No,1GB/Day,64 Kbps,Vi Movies & TV Access,25-May-25,02-Mar-26
199,₹199.00 (GST Inclusive @18% | Base ₹168.64 + GST ₹30.36),Unlimited,Vi Hero Unlimited 199,20-Jul-25,NA,Active,"ANE, APR, KAR, KER, TN",UL Calls | 1GB/Day High-Speed Data | 100 SMS/Day,26102796,1.Telco Benefits,4.Validity,23 Days Validity,PLN-PRE-00004,Prepaid,Retail,Mass,Vi Hero Unlimited,Vodafone Idea,23,1GB/Day High-Speed Data,1,23,GB,Unlimited Calls (Local+STD+NR),100 SMS/Day,2300,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,USSD *199#,Third Party App (PhonePe/Paytm),South,5,Q2 FY2025-26,NA,Live,No,1GB/Day,64 Kbps,Vi Movies & TV Access,25-May-25,02-Mar-26
199,₹199.00 (GST Inclusive @18% | Base ₹168.64 + GST ₹30.36),Unlimited,Vi Hero Unlimited 199,20-Jul-25,NA,Active,"ANE, APR, KAR, KER, TN",UL Calls | 1GB/Day High-Speed Data | 100 SMS/Day,26102796,1.Telco Benefits,5.FUP,Beyond 1GB/Day: Speed Capped at 64 Kbps,PLN-PRE-00004,Prepaid,Retail,Mass,Vi Hero Unlimited,Vodafone Idea,23,1GB/Day High-Speed Data,1,23,GB,Unlimited Calls (Local+STD+NR),100 SMS/Day,2300,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,USSD *199#,Third Party App (PhonePe/Paytm),South,5,Q2 FY2025-26,NA,Live,No,1GB/Day,64 Kbps,Vi Movies & TV Access,25-May-25,02-Mar-26
199,₹199.00 (GST Inclusive @18% | Base ₹168.64 + GST ₹30.36),Unlimited,Vi Hero Unlimited 199,20-Jul-25,NA,Active,"ANE, APR, KAR, KER, TN",UL Calls | 1GB/Day High-Speed Data | 100 SMS/Day,26102796,3.Roaming Benefits,1.Roaming,Free National Roaming - Incoming & Outgoing,PLN-PRE-00004,Prepaid,Retail,Mass,Vi Hero Unlimited,Vodafone Idea,23,1GB/Day High-Speed Data,1,23,GB,Unlimited Calls (Local+STD+NR),100 SMS/Day,2300,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,USSD *199#,Third Party App (PhonePe/Paytm),South,5,Q2 FY2025-26,NA,Live,No,1GB/Day,64 Kbps,Vi Movies & TV Access,25-May-25,02-Mar-26
199,₹199.00 (GST Inclusive @18% | Base ₹168.64 + GST ₹30.36),Unlimited,Vi Hero Unlimited 199,20-Jul-25,NA,Active,"ANE, APR, KAR, KER, TN",UL Calls | 1GB/Day High-Speed Data | 100 SMS/Day,26102796,5.Additional Benefits,1.Additional Benefits,Vi Movies & TV Access,PLN-PRE-00004,Prepaid,Retail,Mass,Vi Hero Unlimited,Vodafone Idea,23,1GB/Day High-Speed Data,1,23,GB,Unlimited Calls (Local+STD+NR),100 SMS/Day,2300,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,USSD *199#,Third Party App (PhonePe/Paytm),South,5,Q2 FY2025-26,NA,Live,No,1GB/Day,64 Kbps,Vi Movies & TV Access,25-May-25,02-Mar-26
219,₹219.00 (GST Inclusive @18% | Base ₹185.59 + GST ₹33.41),Unlimited,Vi Hero Unlimited 219,17-Oct-25,NA,Active,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",UL Calls | 1GB/Day High-Speed Data | 100 SMS/Day,26103313,1.Telco Benefits,1.Voice,Unlimited Calls (Local+STD+NR),PLN-PRE-00005,Prepaid,Retail,Mass,Vi Hero Unlimited,Vodafone Idea,28,1GB/Day High-Speed Data,1,28,GB,Unlimited Calls (Local+STD+NR),100 SMS/Day,2800,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,Retail Outlet,MyApp | Debit Card,Pan India,23,Q3 FY2025-26,NA,Live,No,1GB/Day,64 Kbps,Vi Movies & TV Access,22-Sep-25,24-Feb-26
219,₹219.00 (GST Inclusive @18% | Base ₹185.59 + GST ₹33.41),Unlimited,Vi Hero Unlimited 219,17-Oct-25,NA,Active,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",UL Calls | 1GB/Day High-Speed Data | 100 SMS/Day,26103313,1.Telco Benefits,2.Data,1GB/Day High-Speed Data,PLN-PRE-00005,Prepaid,Retail,Mass,Vi Hero Unlimited,Vodafone Idea,28,1GB/Day High-Speed Data,1,28,GB,Unlimited Calls (Local+STD+NR),100 SMS/Day,2800,No,Yes,No,NA,Free National Roaming,NA,NA,NA,No,64 Kbps,Retail Outlet,MyApp | Debit Card,Pan India,23,Q3 FY2025-26,NA,Live,No,1GB/Day,64 Kbps,Vi Movies & TV Access,22-Sep-25,24-Feb-26
