Plan_SOC_ID,Plan_ID,Plan_Name,Plan_Type,Product_Type,Customer_Type,Segment,Brand,Operator,Plan_Rental,Plan_Rental_GST,Base_Tariff,Validity_Days,Voice_Benefit,Data_Benefit,Daily_Data_Limit,Total_Data_Limit,Data_Unit,SMS_Benefit,SMS_Limit,FUP_Limit,FUP_Speed,Data_Rollover,Night_Data,Weekend_Data,Video_Benefit,5G_Eligible,4G_Eligible,OTT_Benefit,OTT_Platform,OTTS_Detail,Roaming_Benefit,ISD_Benefit,Additional_Benefits,Additional_Information,Activation_Channel,Activation_ViApp,Activation_Website,Activation_SCRM,Activation_TAT,Recharge_Channel,Tagging_Enquiry,Tagging_Request,Tagging_Complaint,Go_Live_Circle,Circle_Count,Market,Go_Live_Date,Launch_Quarter,Active_Inactive,Plan_Status,Auto_Renewal,Pack_Closure_Date,Closure_Reason,Speed_Post_Limit,Created_Date,Last_Updated_Date,Plan_Brief
26106058,PLN-PRE-00011,Vi Hero Unlimited 449,Unlimited,Prepaid,Retail,Mass,Vi Hero Unlimited,Vodafone Idea,449,₹449.00 (GST Inclusive @18% | Base ₹380.51 + GST ₹68.49),₹449.00 (GST Inclusive @18% | Base ₹380.51 + GST ₹68.49),56,Unlimited Calls (Local+STD+NR),1.5GB/Day High-Speed Data,1.5 GB/Day,84,GB,100 SMS/Day,5600,1.5GB/Day,64 Kbps,No,Unlimited Data 12AM-6AM,Not Included,Vi Movies & TV Access (Video Streaming),No,Yes,No,No OTT Bundled,No OTT Subscription Bundled,Free National Roaming,Not Included,Vi Movies & TV Access,Vi Movies & TV Access,Call Center,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,Third Party App (PhonePe/Paytm),Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",23,Pan India,06-Feb-25,Q4 FY2024-25,Active,Live,Yes,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,20-Jan-25,09-Sep-25,UL Calls | 1.5GB/Day High-Speed Data | 100 SMS/Day
26106202,PLN-PRE-00012,Vi Hero Unlimited 499,Unlimited,Prepaid,Retail,Mass,Vi Hero Unlimited,Vodafone Idea,499,₹499.00 (GST Inclusive @18% | Base ₹422.88 + GST ₹76.12),₹499.00 (GST Inclusive @18% | Base ₹422.88 + GST ₹76.12),56,Unlimited Calls (Local+STD+NR),2GB/Day High-Speed Data,2 GB/Day,112,GB,100 SMS/Day,5600,2GB/Day,64 Kbps,Yes,Unlimited Data 12AM-6AM,Not Included,Vi Movies & TV Access (Video Streaming),Yes,Yes,No,No OTT Bundled,No OTT Subscription Bundled,Free National Roaming,Not Included,Unused Data Rollover | Vi Movies & TV Access,Unused Data Rollover | Vi Movies & TV Access,Call Center,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,Website | Netbanking,Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",23,Pan India,28-Aug-24,Q2 FY2024-25,Active,Live,No,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,17-Jul-24,23-Nov-25,UL Calls | 2GB/Day High-Speed Data | 100 SMS/Day | Unlimited 5G
26106698,PLN-PRE-00013,Vi Hero Unlimited 549,Unlimited,Prepaid,Retail,Value,Vi Hero Unlimited,Vodafone Idea,549,₹549.00 (GST Inclusive @18% | Base ₹465.25 + GST ₹83.75),₹549.00 (GST Inclusive @18% | Base ₹465.25 + GST ₹83.75),56,Unlimited Calls (Local+STD+NR),2GB/Day High-Speed Data,2 GB/Day,112,GB,100 SMS/Day,5600,2GB/Day,64 Kbps,Yes,Unlimited Data 12AM-6AM,Not Included,Vi Movies & TV Access (Video Streaming),Yes,Yes,Yes,Disney+ Hotstar Mobile,Bundled OTT: Disney+ Hotstar Mobile,Free National Roaming,Not Included,Bundled OTT Subscriptions | Unused Data Rollover | Vi Movies & TV Access,Bundled OTT Subscriptions | Unused Data Rollover | Vi Movies & TV Access,MyApp,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,MyApp | Debit Card,Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",23,Pan India,15-Jun-24,Q1 FY2024-25,Active,Live,No,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,22-May-24,15-Sep-24,UL Calls | 2GB/Day High-Speed Data | 100 SMS/Day | Unlimited 5G
26107179,PLN-PRE-00014,Vi Hero Unlimited 599,Unlimited,Prepaid,Retail,Youth,Vi Hero Unlimited,Vodafone Idea,599,₹599.00 (GST Inclusive @18% | Base ₹507.63 + GST ₹91.37),₹599.00 (GST Inclusive @18% | Base ₹507.63 + GST ₹91.37),56,Unlimited Calls (Local+STD+NR),2.5GB/Day High-Speed Data,2.5 GB/Day,140,GB,100 SMS/Day,5600,2.5GB/Day,64 Kbps,Yes,Unlimited Data 12AM-6AM,Unlimited Data Sat-Sun,Vi Movies & TV Access (Video Streaming),Yes,Yes,Yes,ZEE5 Premium + SonyLIV Mobile,Bundled OTT: ZEE5 Premium + SonyLIV Mobile,Free National Roaming,Not Included,Bundled OTT Subscriptions | Unused Data Rollover | Vi Movies & TV Access,Bundled OTT Subscriptions | Unused Data Rollover | Vi Movies & TV Access,Call Center,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,Retail Outlet | Cash,Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"GUJ, MPCG, MUM",3,West,29-Dec-25,Q3 FY2025-26,Active,Live,Yes,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,17-Oct-25,30-Jan-26,UL Calls | 2.5GB/Day High-Speed Data | 100 SMS/Day | Unlimited 5G
26107442,PLN-PRE-00015,Vi Hero Unlimited 649,Unlimited,Prepaid,Retail,Mass,Vi Hero Unlimited,Vodafone Idea,649,₹649.00 (GST Inclusive @18% | Base ₹550.00 + GST ₹99.00),₹649.00 (GST Inclusive @18% | Base ₹550.00 + GST ₹99.00),84,Unlimited Calls (Local+STD+NR),1.5GB/Day High-Speed Data,1.5 GB/Day,126,GB,100 SMS/Day,8400,1.5GB/Day,64 Kbps,Yes,Unlimited Data 12AM-6AM,Unlimited Data Sat-Sun,Vi Movies & TV Access (Video Streaming),No,Yes,No,No OTT Bundled,No OTT Subscription Bundled,Free National Roaming,Not Included,Unused Data Rollover | Vi Movies & TV Access,Unused Data Rollover | Vi Movies & TV Access,MyApp,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,MyApp | UPI,Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"GUJ, MAH, MPCG, MUM",4,West,28-Apr-26,Q1 FY2026-27,Active,Live,No,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,02-Feb-26,23-May-26,UL Calls | 1.5GB/Day High-Speed Data | 100 SMS/Day
26107787,PLN-PRE-00016,Vi Hero Unlimited 699,Unlimited,Prepaid,Retail,Mass,Vi Hero Unlimited,Vodafone Idea,699,₹699.00 (GST Inclusive @18% | Base ₹592.37 + GST ₹106.63),₹699.00 (GST Inclusive @18% | Base ₹592.37 + GST ₹106.63),84,Unlimited Calls (Local+STD+NR),1.5GB/Day High-Speed Data,1.5 GB/Day,126,GB,100 SMS/Day,8400,1.5GB/Day,64 Kbps,Yes,Unlimited Data 12AM-6AM,Unlimited Data Sat-Sun,Vi Movies & TV Access (Video Streaming),Yes,Yes,No,No OTT Bundled,No OTT Subscription Bundled,Free National Roaming,Not Included,Unused Data Rollover | Vi Movies & TV Access,Unused Data Rollover | Vi Movies & TV Access,Call Center,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,UPI | Wallet,Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",23,Pan India,28-Apr-26,Q1 FY2026-27,Active,Live,No,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,22-Feb-26,30-May-26,UL Calls | 1.5GB/Day High-Speed Data | 100 SMS/Day | Unlimited 5G
26108420,PLN-PRE-00017,Vi Hero Unlimited 799,Unlimited,Prepaid,Retail,Value,Vi Hero Unlimited,Vodafone Idea,799,₹799.00 (GST Inclusive @18% | Base ₹677.12 + GST ₹121.88),₹799.00 (GST Inclusive @18% | Base ₹677.12 + GST ₹121.88),84,Unlimited Calls (Local+STD+NR),2GB/Day High-Speed Data,2 GB/Day,168,GB,100 SMS/Day,8400,2GB/Day,64 Kbps,Yes,Unlimited Data 12AM-6AM,Unlimited Data Sat-Sun,Vi Movies & TV Access (Video Streaming),Yes,Yes,Yes,Disney+ Hotstar Mobile,Bundled OTT: Disney+ Hotstar Mobile,Free National Roaming,Not Included,Bundled OTT Subscriptions | Unused Data Rollover | Vi Movies & TV Access,Bundled OTT Subscriptions | Unused Data Rollover | Vi Movies & TV Access,Call Center,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,MyApp | Debit Card,Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",23,Pan India,27-Sep-24,Q2 FY2024-25,Active,Live,Yes,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,04-Sep-24,03-Feb-25,UL Calls | 2GB/Day High-Speed Data | 100 SMS/Day | Unlimited 5G
26108807,PLN-PRE-00018,Vi Hero Unlimited 899,Unlimited,Prepaid,Retail,Premium,Vi Hero Unlimited,Vodafone Idea,899,₹899.00 (GST Inclusive @18% | Base ₹761.86 + GST ₹137.14),₹899.00 (GST Inclusive @18% | Base ₹761.86 + GST ₹137.14),90,Unlimited Calls (Local+STD+NR),2GB/Day High-Speed Data,2 GB/Day,180,GB,100 SMS/Day,9000,2GB/Day,64 Kbps,Yes,Unlimited Data 12AM-6AM,Unlimited Data Sat-Sun,Vi Movies & TV Access (Video Streaming),Yes,Yes,Yes,Amazon Prime Lite,Bundled OTT: Amazon Prime Lite,Free National Roaming,Not Included,Bundled OTT Subscriptions | Unused Data Rollover | Vi Movies & TV Access,Bundled OTT Subscriptions | Unused Data Rollover | Vi Movies & TV Access,Retail Outlet,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,MyApp | UPI,Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",23,Pan India,04-Nov-24,Q3 FY2024-25,Active,Live,Yes,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,24-Sep-24,20-Nov-24,UL Calls | 2GB/Day High-Speed Data | 100 SMS/Day | Unlimited 5G
26109088,PLN-PRE-00019,Vi Hero Unlimited 999,Unlimited,Prepaid,Retail,Premium,Vi Hero Unlimited,Vodafone Idea,999,₹999.00 (GST Inclusive @18% | Base ₹846.61 + GST ₹152.39),₹999.00 (GST Inclusive @18% | Base ₹846.61 + GST ₹152.39),84,Unlimited Calls (Local+STD+NR),2.5GB/Day High-Speed Data,2.5 GB/Day,210,GB,100 SMS/Day,8400,2.5GB/Day,64 Kbps,Yes,Unlimited Data 12AM-6AM,Unlimited Data Sat-Sun,Vi Movies & TV Access (Video Streaming),Yes,Yes,Yes,Netflix Mobile + Disney+ Hotstar Mobile,Bundled OTT: Netflix Mobile + Disney+ Hotstar Mobile,Free National Roaming,Not Included,Bundled OTT Subscriptions | Unused Data Rollover | Vi Movies & TV Access,Bundled OTT Subscriptions | Unused Data Rollover | Vi Movies & TV Access,Mini Store,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,MyApp | Debit Card,Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"APR, KAR, KER",3,South,14-Jan-25,Q4 FY2024-25,Active,Live,Yes,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,13-Nov-24,11-Jul-26,UL Calls | 2.5GB/Day High-Speed Data | 100 SMS/Day | Unlimited 5G
26109793,PLN-PRE-00020,Vi Hero Unlimited 1199,Unlimited,Prepaid,Retail,Premium,Vi Hero Unlimited,Vodafone Idea,1199,₹1199.00 (GST Inclusive @18% | Base ₹1016.10 + GST ₹182.90),₹1199.00 (GST Inclusive @18% | Base ₹1016.10 + GST ₹182.90),84,Unlimited Calls (Local+STD+NR),3GB/Day High-Speed Data,3 GB/Day,252,GB,100 SMS/Day,8400,3GB/Day,64 Kbps,Yes,Unlimited Data 12AM-6AM,Unlimited Data Sat-Sun,Vi Movies & TV Access (Video Streaming),Yes,Yes,Yes,Netflix Basic + Amazon Prime Lite,Bundled OTT: Netflix Basic + Amazon Prime Lite,Free National Roaming,Not Included,Bundled OTT Subscriptions | Unused Data Rollover | Vi Movies & TV Access,Bundled OTT Subscriptions | Unused Data Rollover | Vi Movies & TV Access,Website,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,Retail Outlet | Cash,Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"BIH, ROB, WB",3,East,06-May-24,Q1 FY2024-25,Active,Live,Yes,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,19-Apr-24,04-Sep-25,UL Calls | 3GB/Day High-Speed Data | 100 SMS/Day | Unlimited 5G
26109971,PLN-PRE-00021,Limitless Plan Vi Hero Unlimited 1499 UL,Unlimited,Prepaid,Retail,Premium,Vi Hero Unlimited,Vodafone Idea,1499,₹1499.00 (GST Inclusive @18% | Base ₹1270.34 + GST ₹228.66),₹1499.00 (GST Inclusive @18% | Base ₹1270.34 + GST ₹228.66),84,Unlimited Calls (Local+STD+NR),Limitless Data/month (bill-period),No Daily Cap (Total 300 GB Pool),300,GB,100 SMS/Day,8400,300GB/Month,5 Mbps,No,Not Included,Not Included,Vi Movies & TV Access (Video Streaming),Yes,Yes,Yes,Netflix Basic + Disney+ Hotstar Super,Bundled OTT: Netflix Basic + Disney+ Hotstar Super,Free National Roaming,Not Included,Bundled OTT Subscriptions | Vi Movies & TV Access,Bundled OTT Subscriptions | Vi Movies & TV Access,USSD *199#,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,MyApp | UPI,Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"ANE, APR, KAR, TN",4,South,08-Jul-25,Q2 FY2025-26,Active,Live,No,Active - Not Closed,Not Applicable (Active Plan),5 Mbps,15-Apr-25,12-Jan-26,UL Calls | Limitless Data | 100 SMS/Day | Unlimited 5G
26110658,PLN-PRE-00022,Vi Hero Unlimited Annual 3199,Unlimited,Prepaid,Retail,Premium,Vi Hero Unlimited,Vodafone Idea,3199,₹3199.00 (GST Inclusive @18% | Base ₹2711.02 + GST ₹487.98),₹3199.00 (GST Inclusive @18% | Base ₹2711.02 + GST ₹487.98),365,Unlimited Calls (Local+STD+NR),2GB/Day High-Speed Data,2 GB/Day,730,GB,100 SMS/Day,36500,2GB/Day,64 Kbps,Yes,Unlimited Data 12AM-6AM,Unlimited Data Sat-Sun,Vi Movies & TV Access (Video Streaming),Yes,Yes,Yes,Disney+ Hotstar Mobile,Bundled OTT: Disney+ Hotstar Mobile,Free National Roaming,Not Included,Bundled OTT Subscriptions | Unused Data Rollover | Vi Movies & TV Access,Bundled OTT Subscriptions | Unused Data Rollover | Vi Movies & TV Access,USSD *199#,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,Third Party App (PhonePe/Paytm),Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"DEL, KOL, MUM",3,Metro,15-Apr-24,Q1 FY2024-25,Active,Live,No,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,12-Feb-24,08-May-25,UL Calls | 2GB/Day High-Speed Data | 100 SMS/Day | Unlimited 5G
26111156,PLN-PRE-00023,Vi Hero Unlimited Data Booster 19,Data,Prepaid,Retail,Data Add-On,Vi Hero Unlimited,Vodafone Idea,19,₹19.00 (GST Inclusive @18% | Base ₹16.10 + GST ₹2.90),₹19.00 (GST Inclusive @18% | Base ₹16.10 + GST ₹2.90),1,No Voice Benefit (Data Only Pack),1GB Total (Full Validity),No Daily Cap (Total 1 GB Pool),1,GB,No SMS Benefit,0,1GB/Validity,64 Kbps,No,Not Included,Not Included,Standard Video Streaming (SD),No,Yes,No,No OTT Bundled,No OTT Subscription Bundled,Not Included,Not Included,No Additional Benefit,No Additional Information,Call Center,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,MyApp | UPI,Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",23,Pan India,23-Apr-26,Q1 FY2026-27,Active,Live,Yes,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,24-Jan-26,20-Jun-26,Data Only | 1GB Total (Full Validity)
26111574,PLN-PRE-00024,Vi Hero Unlimited Data Booster 29,Data,Prepaid,Retail,Data Add-On,Vi Hero Unlimited,Vodafone Idea,29,₹29.00 (GST Inclusive @18% | Base ₹24.58 + GST ₹4.42),₹29.00 (GST Inclusive @18% | Base ₹24.58 + GST ₹4.42),2,No Voice Benefit (Data Only Pack),2GB Total (Full Validity),No Daily Cap (Total 2 GB Pool),2,GB,No SMS Benefit,0,2GB/Validity,64 Kbps,No,Not Included,Not Included,Standard Video Streaming (SD),No,Yes,No,No OTT Bundled,No OTT Subscription Bundled,Not Included,Not Included,No Additional Benefit,No Additional Information,Mini Store,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,MyApp | UPI,Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",23,Pan India,07-Dec-25,Q3 FY2025-26,Active,Live,No,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,11-Nov-25,10-Aug-26,Data Only | 2GB Total (Full Validity)
26112473,PLN-PRE-00025,Vi Hero Unlimited Data Booster 65,Data,Prepaid,Retail,Data Add-On,Vi Hero Unlimited,Vodafone Idea,65,₹65.00 (GST Inclusive @18% | Base ₹55.08 + GST ₹9.92),₹65.00 (GST Inclusive @18% | Base ₹55.08 + GST ₹9.92),28,No Voice Benefit (Data Only Pack),4GB Total (Full Validity),No Daily Cap (Total 4 GB Pool),4,GB,No SMS Benefit,0,4GB/Validity,64 Kbps,No,Not Included,Not Included,Standard Video Streaming (SD),No,Yes,No,No OTT Bundled,No OTT Subscription Bundled,Not Included,Not Included,No Additional Benefit,No Additional Information,Website,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,Third Party App (PhonePe/Paytm),Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"BIH, KOL, NE, ROB, WB",5,East,21-Dec-25,Q3 FY2025-26,Active,Live,No,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,05-Oct-25,24-Feb-26,Data Only | 4GB Total (Full Validity)
26113084,PLN-PRE-00026,Vi Hero Unlimited Data Booster 118,Data,Prepaid,Retail,Data Add-On,Vi Hero Unlimited,Vodafone Idea,118,₹118.00 (GST Inclusive @18% | Base ₹100.00 + GST ₹18.00),₹118.00 (GST Inclusive @18% | Base ₹100.00 + GST ₹18.00),28,No Voice Benefit (Data Only Pack),12GB Total (Full Validity),No Daily Cap (Total 12 GB Pool),12,GB,No SMS Benefit,0,12GB/Validity,64 Kbps,No,Not Included,Not Included,Standard Video Streaming (SD),Yes,Yes,No,No OTT Bundled,No OTT Subscription Bundled,Not Included,Not Included,No Additional Benefit,No Additional Information,Call Center,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,Website | Netbanking,Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"ANE, APR, KAR, KER, TN",5,South,04-Dec-24,Q3 FY2024-25,Active,Live,Yes,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,09-Oct-24,22-Jan-26,Data Only | 12GB Total (Full Validity) | Unlimited 5G
26113324,PLN-PRE-00027,Vi Hero Unlimited Data Booster 181,Data,Prepaid,Retail,Data Add-On,Vi Hero Unlimited,Vodafone Idea,181,₹181.00 (GST Inclusive @18% | Base ₹153.39 + GST ₹27.61),₹181.00 (GST Inclusive @18% | Base ₹153.39 + GST ₹27.61),28,No Voice Benefit (Data Only Pack),25GB Total (Full Validity),No Daily Cap (Total 25 GB Pool),25,GB,No SMS Benefit,0,25GB/Validity,64 Kbps,No,Not Included,Not Included,Standard Video Streaming (SD),Yes,Yes,No,No OTT Bundled,No OTT Subscription Bundled,Not Included,Not Included,No Additional Benefit,No Additional Information,USSD *199#,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,UPI | Wallet,Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"DEL, HAR, HP, J&K, PUN, RAJ, UPE, UPW",8,North,16-Aug-24,Q2 FY2024-25,Active,Live,No,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,30-May-24,10-Aug-25,Data Only | 25GB Total (Full Validity) | Unlimited 5G
26114113,PLN-PRE-00028,Vi Hero Unlimited Data Booster 351,Data,Prepaid,Retail,Data Add-On,Vi Hero Unlimited,Vodafone Idea,351,₹351.00 (GST Inclusive @18% | Base ₹297.46 + GST ₹53.54),₹351.00 (GST Inclusive @18% | Base ₹297.46 + GST ₹53.54),56,No Voice Benefit (Data Only Pack),50GB Total (Full Validity),No Daily Cap (Total 50 GB Pool),50,GB,No SMS Benefit,0,50GB/Validity,64 Kbps,No,Not Included,Not Included,Standard Video Streaming (SD),Yes,Yes,No,No OTT Bundled,No OTT Subscription Bundled,Not Included,Not Included,No Additional Benefit,No Additional Information,MyApp,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,Website | Netbanking,Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",23,Pan India,17-Feb-25,Q4 FY2024-25,Active,Live,Yes,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,07-Dec-24,11-Jan-26,Data Only | 50GB Total (Full Validity) | Unlimited 5G
26114908,PLN-PRE-00029,Vi Hero Unlimited International Roaming 2999,Combo,Prepaid,Retail,International,Vi Hero Unlimited,Vodafone Idea,2999,₹2999.00 (GST Inclusive @18% | Base ₹2541.53 + GST ₹457.47),₹2999.00 (GST Inclusive @18% | Base ₹2541.53 + GST ₹457.47),10,International Roaming Minutes,5GB Total (Full Validity),No Daily Cap (Total 5 GB Pool),5,GB,100 SMS (International),100,5GB/Validity,64 Kbps,No,Not Included,Not Included,Standard Video Streaming (SD),No,Yes,No,No OTT Bundled,No OTT Subscription Bundled,International Roaming (60+ Countries),ISD @ Roaming Rate,No Additional Benefit,No Additional Information,Mini Store,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,MyApp | Debit Card,Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",23,Pan India,27-Mar-26,Q4 FY2025-26,Active,Live,Yes,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,05-Feb-26,20-Aug-26,100 IR Mins | 5GB Total (Full Validity) | 100 SMS
26115665,PLN-PRE-00030,Vi Hero Unlimited ISD Combo 595,Voice,Prepaid,Retail,International,Vi Hero Unlimited,Vodafone Idea,595,₹595.00 (GST Inclusive @18% | Base ₹504.24 + GST ₹90.76),₹595.00 (GST Inclusive @18% | Base ₹504.24 + GST ₹90.76),28,ISD Minutes Bundle,1GB Total (Full Validity),No Daily Cap (Total 1 GB Pool),1,GB,300 SMS (Full Validity),300,1GB/Validity,64 Kbps,No,Not Included,Not Included,Standard Video Streaming (SD),No,Yes,No,No OTT Bundled,No OTT Subscription Bundled,Free National Roaming,500 ISD Mins Bundle,No Additional Benefit,No Additional Information,Website,Self-Activation via Vi App,Activation via Vi Website,Assisted Activation via Store CRM,Instant to 24 Hours,Retail Outlet | Cash,Plan/Benefit Enquiry | Balance & Validity Enquiry,Activation Request | Plan Change Request | OTT Activation Request,Network/Speed Complaint | Billing Complaint | Deactivation Complaint,"ANE, APR, BIH, DEL, GUJ, HAR, HP, J&K, KAR, KER, KOL, MAH, MPCG, MUM, NE, ORI, PUN, RAJ, ROB, TN, UPE, UPW, WB",23,Pan India,18-Aug-24,Q2 FY2024-25,Active,Live,Yes,Active - Not Closed,Not Applicable (Active Plan),64 Kbps,13-Jun-24,26-Nov-25,500 ISD Mins | 1GB Total (Full Validity) | 300 SMS
